Country Name,Country Code,"2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2020 [YR2020] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2021 [YR2021] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2022 [YR2022] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2023 [YR2023] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2023 [YR2023] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2024 [YR2024] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2024 [YR2024] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
United Kingdom,GBR,80.331756097561,11.96547699,80.6473170731707,12.01903439,81.0112195121951,11.05087757,81.2380975609756,10.872015,..,..
United States,USA,76.9804878048781,18.8132534,76.3292682926829,17.5063858,77.4341463414634,16.49613953,78.3853658536585,..,..,..
Uruguay,URY,78.381,9.06924915,75.434,8.91666222,76.468,8.94532204,78.138,..,..,..
Uzbekistan,UZB,71.461,6.71439123,71.681,7.69774151,72.147,7.36325455,72.388,..,..,..
Vanuatu,VUT,70.385,4.12128973,69.952,4.54704428,71.302,4.14742947,71.477,..,..,..
"Venezuela, RB",VEN,72.369,4.11615229,71.536,4.10222006,72.566,4.55047369,72.514,..,..,..
Viet Nam,VNM,75.383,4.33219814,74.145,4.53756857,74.502,4.58891582,74.588,..,..,..
Virgin Islands (U.S.),VIR,79.819512195122,..,80.0682926829268,..,80.319512195122,..,80.519512195122,..,..,..
West Bank and Gaza,PSE,74.998,10.27610207,73.89,10.4347353,76.662,9.73336029,65.17,..,..,..
"Yemen, Rep.",YEM,66.435,5.77270842,66.019,6.17542744,67.952,6.18666697,69.295,..,..,..
Zambia,ZMB,63.361,6.3067441,62.363,6.63951397,65.279,5.25592279,66.349,..,..,..
Zimbabwe,ZWE,61.53,2.95440149,60.135,2.78571677,62.36,3.62880659,62.775,..,..,..
Africa Eastern and Southern,AFE,63.7664840026943,6.03580639616092,62.9799991857494,6.04446785568353,64.4870195456608,5.72792044451625,65.146290855385,..,..,..
Africa Western and Central,AFW,57.3644254011107,3.89296420486982,57.3625716910274,4.15231880504646,57.9878133945189,4.20982209551871,58.8557215483276,..,..,..
Arab World,ARB,70.7265588103862,5.71176359177651,70.4041144889903,5.27421179448308,71.8760955992222,4.43998203289225,72.4446783578531,..,..,..
Caribbean small states,CSS,71.9394359303317,6.95111117623348,69.9228107471769,6.54494143338545,72.8322921090608,5.69269774449756,73.1716450013098,..,..,..
Central Europe and the Baltics,CEB,76.0162701269145,7.2547964609141,74.7232827859077,7.43813435081596,76.6522987292583,7.02752581684412,77.8967836493153,..,..,..
Early-demographic dividend,EAR,69.8801308490982,5.04675544515228,68.1790994839633,5.07274654361778,71.4304552508694,4.70314696610425,71.7962449795855,..,..,..
East Asia & Pacific,EAS,76.5434376080231,6.96951697935485,76.1530093756951,6.7705042557205,76.6767834400676,6.59011392833255,76.6595183258032,..,..,..
East Asia & Pacific (excluding high income),EAP,75.6976393295064,5.35322263142449,75.2781418410849,5.26144564198792,75.9325409436903,5.15451107926553,75.8806830895266,..,..,..
East Asia & Pacific (IDA & IBRD countries),TEA,75.7338497054699,5.35338234770251,75.3009806060199,5.26160554561104,75.9610347461336,5.15471141855297,75.9085643603807,..,..,..
Euro area,EMU,81.4873571657503,11.2232983183465,81.5839330415712,11.235856066116,81.6212237452298,10.7656610173112,82.1920076156423,..,..,..
Europe & Central Asia,ECS,77.1757484533311,10.5098507886557,76.7287266936821,10.4078733502973,77.8361130850842,9.7579376244363,78.3870183177038,..,..,..
Europe & Central Asia (excluding high income),ECA,73.5589573506665,5.54432585385682,72.8874329657208,5.7178475812598,74.5786223390478,4.71080839331069,74.7987152767476,..,..,..
Europe & Central Asia (IDA & IBRD countries),TEC,73.1523738187621,6.77371190582262,72.1539007720004,6.45749007322387,74.1916033602425,6.08316962254762,74.7300564025194,..,..,..
European Union,EUU,80.4414754678551,10.8635020267304,80.3071964400875,10.8699478690085,80.7129818383208,10.3657237718615,81.4114503796876,..,..,..
Fragile and conflict affected situations,FCS,62.0663682854031,4.89989569143417,61.6086810439385,5.16206490737885,62.702271566254,4.52034522651985,63.3499447771075,..,..,..
Heavily indebted poor countries (HIPC),HPC,63.0726319690016,4.98365290750334,62.5313735700637,4.93792863353534,63.8404458555462,4.78012671134464,64.7159054177481,..,..,..
High income,HIC,79.2043516940348,13.7647316332356,78.8000564470189,13.1255942028907,79.4313242226593,12.5210802528727,80.1500151183354,..,..,..
IBRD only,IBD,73.29542288776,5.81889117609436,71.974522937271,5.69735415583245,74.251561351988,5.55008061997615,74.5209699459191,..,..,..
IDA & IBRD total,IBT,70.7491565630532,5.67793303994023,69.6682599282971,5.59005565304359,71.6779222363782,5.44657164384059,72.0008209186498,..,..,..
IDA blend,IDB,60.8180066140619,3.65014026242974,60.876535738179,4.01645052641121,62.1288641416852,4.02996297858208,62.4621643327349,..,..,..
IDA only,IDX,65.411479068422,4.14955694023896,64.8764634139942,4.23491844689983,66.3600605315493,4.12458565126573,67.0538318903115,..,..,..
IDA total,IDA,63.8022749850664,3.92542716661687,63.4773799318061,4.13670696339679,64.8822902939527,4.08217377450094,65.4535223135408,..,..,..
