Country Name,Country Code,"2020 [YR2020] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2020 [YR2020] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2021 [YR2021] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2021 [YR2021] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2022 [YR2022] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2022 [YR2022] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2023 [YR2023] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2023 [YR2023] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],"2024 [YR2024] - Life expectancy at birth, total (years) [SP.DYN.LE00.IN]",2024 [YR2024] - Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS]
Germany,DEU,81.0414634146342,12.6902256,80.790243902439,12.90171242,80.6080487804878,12.60513115,80.5414634146342,11.79903221,..,..
Ghana,GHA,64.309,4.4331708,64.286,3.86030865,65.246,3.6993649,65.498,..,..,..
Gibraltar,GIB,83.07,..,80.274,..,83.517,..,83.553,..,..,..
Greece,GRC,81.2878048780488,9.5242157,80.0829268292683,9.18476486,80.7878048780488,8.49983692,81.5365853658537,..,..,..
Greenland,GRL,71.8507317073171,..,71.8139024390244,..,71.5404878048781,..,71.549756097561,..,..,..
Grenada,GRD,75.019,5.3228159,74.522,5.34433317,75.151,4.94846392,75.205,..,..,..
Guam,GUM,75.529,..,75.434,..,77.102,..,77.209,..,..,..
Guatemala,GTM,69.971,6.45951891,67.858,6.97680426,71.206,7.44098806,72.602,..,..,..
Guinea,GIN,59.35,3.90094519,59.373,3.7175858,60.432,3.95847702,60.74,..,..,..
Guinea-Bissau,GNB,61.343,9.0293932,61.653,8.16332626,63.605,8.11358356,64.085,..,..,..
Guyana,GUY,67.751,5.4180727,64.323,4.92369986,69.888,3.00636959,70.18,..,..,..
Haiti,HTI,63.773,3.22171092,62.613,3.44216156,63.948,3.20848918,64.936,..,..,..
Honduras,HND,70.864,9.03509808,69.492,9.16101742,72.715,8.28209972,72.884,..,..,..
"Hong Kong SAR, China",HKG,85.4963414634146,..,85.5326829268293,..,83.6609756097561,..,85.2473170731707,..,..,..
Hungary,HUN,75.419512195122,7.28760386,74.0658536585366,7.38329268,75.8682926829268,6.68981791,76.7707317073171,6.3573041,..,..
Iceland,ISL,83.0634146341463,9.67780685,83.1658536585366,9.78697014,82.119512195122,9.28593922,82.6073170731707,8.99166012,..,..
India,IND,70.156,3.34146094,67.282,3.34680939,71.698,3.3058846,72.003,..,..,..
Indonesia,IDN,68.817,3.42067289,67.452,3.70634937,70.925,2.69394851,71.146,..,..,..
"Iran, Islamic Rep.",IRN,74.141,5.40149546,73.752,5.77013779,76.799,5.34889174,77.654,..,..,..
Iraq,IRQ,69.651,5.76473284,70.704,5.25095701,72.037,4.29332495,72.324,..,..,..
Ireland,IRL,82.4560975609756,7.06342745,82.2536585365854,6.59614468,82.509756097561,6.11978531,82.8609756097561,..,..,..
Isle of Man,IMN,80.591,..,80.42,..,80.956,..,80.999,..,..,..
Israel,ISR,82.6487804878049,7.70120192,82.5,7.67129993,82.7,7.34161806,83.1951219512195,..,..,..
Italy,ITA,82.1951219512195,9.62485981,82.6463414634146,9.34389782,82.7,9.02753067,83.7,8.51808929,..,..
Jamaica,JAM,71.452,6.62580395,69.085,7.18521214,71.481,7.77706337,71.479,..,..,..
Japan,JPN,84.56,11.20903683,84.4456097560976,11.18996906,83.9963414634146,11.42183685,84.0412195121951,..,..,..
Jordan,JOR,75.583,7.11578226,74.204,7.20182657,77.088,6.82820034,77.814,..,..,..
Kazakhstan,KAZ,71.195,3.75300956,70.131,3.92458963,73.503,3.74026752,74.402,..,..,..
Kenya,KEN,61.596,4.49248838,61.225,4.56525421,63.549,4.32603645,63.646,..,..,..
Kiribati,KIR,65.205,13.53000164,64.148,11.65399933,66.269,10.49855042,66.473,..,..,..
"Korea, Dem. People's Rep.",PRK,72.783,..,73.437,..,73.641,..,73.642,..,..,..
"Korea, Rep.",KOR,83.4268292682927,8.3554945,83.5268292682927,8.95732689,82.6804878048781,9.43414211,83.4292682926829,9.88014412,..,..
Kosovo,XKX,74.212,..,74.981,..,77.623,..,78.033,..,..,..
Kuwait,KWT,78.7609756097561,6.23488235,78.7365853658537,5.50187826,80.5878048780488,4.26875782,83.1878048780488,..,..,..
Kyrgyz Republic,KGZ,71.8,4.94803715,71.9,5.35275412,72.0487804878049,4.92258883,72.2487804878049,..,..,..
Lao PDR,LAO,68.339,2.05965185,67.807,2.74392009,68.715,2.01825476,68.964,..,..,..
Latvia,LVA,75.1853658536585,7.28520584,72.9804878048781,9.10995388,74.2780487804878,7.62168407,75.6780487804878,..,..,..
Lebanon,LBN,76.299,7.57650805,73.65,4.85634661,78.003,5.73500204,77.817,..,..,..
Lesotho,LSO,55.133,10.45941448,54.209,10.81370068,56.812,12.65127754,57.375,..,..,..
Liberia,LBR,61.267,12.90504265,61.166,13.8384428,61.934,13.47386169,62.163,..,..,..
Libya,LBY,72.388,7.10674047,72.062,6.21384287,74.462,4.65005827,69.339,..,..,..
Liechtenstein,LIE,81.6585365853659,..,84.4024390243902,..,84.1219512195122,..,84.8414634146342,..,..,..
Lithuania,LTU,75.0292682926829,7.47439718,74.0365853658537,7.75970221,75.6439024390244,7.24335003,76.9878048780488,7.29381466,..,..
Luxembourg,LUX,82.1439024390244,5.76488066,82.5975609756098,5.66065645,82.9463414634147,5.55154753,83.3585365853659,5.78284121,..,..
"Macao SAR, China",MAC,84.1292682926829,..,83.7292682926829,..,83.0804878048781,..,83.1804878048781,..,..,..
Madagascar,MDG,62.706,3.72316122,62.516,3.5045228,63.068,3.25023246,63.632,..,..,..
Malawi,MWI,65.216,7.17979383,64.782,7.62815809,66.037,6.50023508,67.353,..,..,..
Malaysia,MYS,76.057,4.08254337,73.917,4.37382412,75.444,3.90591931,76.657,..,..,..
Maldives,MDV,78.713,11.3365984,78.052,10.09611702,80.76,9.65276241,81.041,..,..,..
Mali,MLI,58.858,3.47597885,59.116,3.46649742,60.035,3.67284775,60.439,..,..,..
Malta,MLT,82.0975609756098,10.60137844,82.2585365853659,10.36362457,82.4487804878049,9.52376747,83.5073170731707,..,..,..
Marshall Islands,MHL,65.387,12.17444134,65.421,12.54099083,66.725,11.73604298,66.945,..,..,..
Mauritania,MRT,66.794,3.00147843,66.762,3.78022528,68.281,4.48389912,68.484,..,..,..
Mauritius,MUS,74.1770731707317,6.09606028,73.680243902439,6.6160841,73.5146341463415,5.82381678,73.4121951219512,..,..,..
Mexico,MEX,70.449,6.0537405,69.75,5.89244318,73.973,5.72145176,75.069,..,..,..
"Micronesia, Fed. Sts.",FSM,65.878,12.01537514,66.152,11.41321754,66.961,10.34470272,67.198,..,..,..
Moldova,MDA,69.914,7.00484037,68.991,7.7490406,71.546,6.96505404,71.198,..,..,..
Monaco,MCO,86.089,4.27929592,85.113,3.67252064,85.746,3.39779735,86.372,..,..,..
Mongolia,MNG,71.3490243902439,4.6662488,71.6451219512195,7.21042728,71.9007317073171,8.85170174,72.1224390243902,..,..,..
Montenegro,MNE,75.9317073170732,11.42177582,73.8243902439024,10.55253506,76.1878048780488,10.92241859,77.5878048780488,..,..,..
Morocco,MAR,73.133,5.59079361,73.385,5.522717,75.161,5.68049145,75.313,..,..,..
Mozambique,MOZ,61.39,7.54172373,60.268,8.86981869,63.011,8.77717781,63.611,..,..,..
Myanmar,MMR,66.612,4.38807583,65.553,5.83599281,66.506,5.20476246,66.889,..,..,..
Namibia,NAM,64.071,8.88723373,60.85,9.33766365,64.19,9.29635525,67.385,..,..,..
Nauru,NRU,61.527,11.55650234,61.331,12.00061035,61.93,18.17031097,62.109,..,..,..
Nepal,NPL,69.106,5.2080965,68.385,5.32333136,70.087,6.65589333,70.354,..,..,..
Netherlands,NLD,81.3585365853659,11.22355747,81.309756097561,11.12490749,81.6146341463415,10.10068321,81.9146341463415,..,..,..
New Caledonia,NCL,77.049,..,77.113,..,77.698,..,78.766,..,..,..
New Zealand,NZL,82.2560975609756,10.05994129,82.2073170731707,10.0194025,81.9585365853658,10.02858067,83.0048780487805,..,..,..
Nicaragua,NIC,70.766,8.58996105,70.478,9.59249973,74.463,8.95364857,74.947,..,..,..
Niger,NER,59.89,6.17007589,59.542,5.81452751,60.398,4.35259724,61.183,..,..,..
Nigeria,NGA,53.072,3.38063431,53.455,4.07625723,54.079,4.27090406,54.462,..,..,..
North Macedonia,MKD,74.3951219512195,7.73212385,73.2463414634146,8.5240345,74.4248780487805,7.6204114,75.3160975609756,..,..,..
Northern Mariana Islands,MNP,78.03,..,78.16,..,78.531,..,78.808,..,..,..
Norway,NOR,83.209756097561,11.42416382,83.1634146341463,9.8142643,82.509756097561,7.94803333,83.1121951219512,..,..,..
Oman,OMN,77.763,5.11922884,75.969,4.37028217,77.911,2.9162159,80.031,..,..,..
Pakistan,PAK,65.701,2.95273018,65.773,2.99015832,67.417,2.90434051,67.649,..,..,..
Palau,PLW,68.689,13.33730412,68.563,14.62713623,68.922,14.28555965,69.269,..,..,..
Panama,PAN,76.33,10.21630001,77.004,9.13571072,79.324,8.46561432,79.594,..,..,..
Papua New Guinea,PNG,65.075,2.30193973,64.358,2.33994722,65.274,2.61825109,66.134,..,..,..
Paraguay,PRY,72.72,7.67533064,68.108,8.03277016,72.319,7.73804235,73.844,..,..,..
